Start Time,End Time,Distance (km),Start SOC (%),End SOC (%),Energy Used (kWh),Consumption (kWh/100km),Avg Temp (Â°C)
2025-02-13 15:31:39.496000+00:00,2025-02-20 17:16:29.699000+00:00,654.0,50.0,68.0,0.0,0.0,-2.1
2025-02-28 04:38:05.432000+00:00,2025-07-23 06:04:43.069000+00:00,8895.0,66.0,58.0,6.16,0.07,17.5
2025-07-24 06:25:50.396000+00:00,2025-09-23 16:12:07.940000+00:00,5927.0,58.0,52.0,4.62,0.08,21.0
2025-09-26 05:14:03.721000+00:00,2025-11-23 17:55:36.435000+00:00,5459.0,51.0,40.0,8.47,0.16,8.6
2025-11-24 07:04:46.459000+00:00,2025-12-06 08:30:17.958000+00:00,445.0,40.0,68.0,0.0,0.0,2.4
2025-12-06 09:25:21.468000+00:00,2025-12-12 15:16:23.912000+00:00,320.0,68.0,96.0,0.0,0.0,8.8
2025-12-12 16:16:23.932000+00:00,2025-12-13 19:12:12.504000+00:00,276.0,95.0,30.0,50.05,18.13,1.4
2025-12-14 05:12:43.164000+00:00,2025-12-27 19:10:14.087000+00:00,1149.0,30.0,15.0,11.55,1.01,1.2
2025-12-27 20:29:49.834000+00:00,2026-01-05 17:57:11.188000+00:00,586.0,10.0,70.0,0.0,0.0,-0.5
2026-01-05 22:39:24.996000+00:00,2026-01-31 19:08:13.996000+00:00,1567.0,70.0,29.0,31.57,2.01,-2.3
